hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status
0.0,0.0,0.17096336499321574,0.7272727272727273,0.05263157894736842,1.0,0.03636363636363636,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.1111111111111111,0.2727272727272727,0.0,0.0,0.0,1.0,0.0,0.2,0.5
0.0,1.0,0.036635006784260515,0.9999999999999999,0.0,1.0,0.03636363636363636,0.0,0.0,0.0,0.7142857142857142,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05370843989769821,0.6666666666666667,0.0,0.0,0.0
0.0,0.0,0.18588873812754408,0.6363636363636364,0.05263157894736842,1.0,0.03636363636363636,0.0,0.0,0.0,0.5714285714285714,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.5
1.0,0.0,0.009497964721845317,0.1818181818181818,0.0,1.0,0.01818181818181818,0.0,0.0,0.0,0.7142857142857142,0.75,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.0,0.0,0.027137042062415195,0.9999999999999999,0.10526315789473684,1.0,0.03636363636363636,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.2,0.5
0.0,1.0,0.05563093622795115,0.5454545454545454,0.05263157894736842,1.0,0.01818181818181818,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,0.0,0.2,0.0
0.0,0.0,0.1587516960651289,0.4545454545454545,0.0,1.0,0.03636363636363636,0.6666666666666666,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.5555555555555556,0.4545454545454545,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.5
0.0,1.0,0.12347354138398914,0.6363636363636364,0.0,1.0,0.01818181818181818,0.0,0.0,0.0,0.5714285714285714,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05115089514066497,0.6666666666666667,0.0,0.0,0.0
0.0,0.0,0.4043419267299864,0.7272727272727273,0.0,1.0,0.01818181818181818,0.0,0.0,0.0,0.7142857142857142,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5294117647058824,1.0,0.0,0.0,0.5
1.0,0.0,0.006784260515603799,0.7272727272727273,0.05263157894736842,0.0,0.01818181818181818,0.0,0.0,0.0,0.14285714285714285,0.75,1.0,0.0,1.0,0.2222222222222222,0.36363636363636365,0.0,0.0,0.0,0.6666666666666667,0.125,0.4,0.5
0.0,1.0,0.35956580732700133,0.5454545454545454,0.21052631578947367,1.0,0.03636363636363636,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1.0,0.0,0.1316146540027137,0.7272727272727273,0.15789473684210525,1.0,0.03636363636363636,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.6666666666666667,0.0,0.2,0.5
0.0,1.0,0.23066485753052915,0.09090909090909091,0.0,1.0,0.05454545454545454,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.1111111111111111,0.2727272727272727,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1.0,0.0,0.0,0.4545454545454545,0.0,1.0,0.03636363636363636,0.0,0.0,0.25,0.8571428571428572,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,0.0,0.2,0.5
0.0,0.0,0.4450474898236092,0.9999999999999999,0.0,1.0,0.03636363636363636,0.0,0.0,0.0,0.5714285714285714,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09718670076726343,1.0,0.0,0.2,0.5
0.0,0.0,0.16282225237449116,0.5454545454545454,0.10526315789473684,1.0,0.03636363636363636,0.0,0.0,0.0,0.8571428571428572,0.75,0.0,0.0,0.0,0.1111111111111111,0.2727272727272727,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.5
0.0,1.0,0.4274084124830393,0.9999999999999999,0.05263157894736842,1.0,0.03636363636363636,0.0,0.0,0.0,0.5714285714285714,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09718670076726343,1.0,0.0,0.0,0.0
